,id,description,A,B,C,D,answer,tag
48,48,642e92efb79421734881b53e1e1b18b6,145cd3a4d4,1c4b0b9130,37d1f56080,c53254ec49,C,C_class
49,49,f457c545a9ded88f18ecee47145a72c0,a3f29436c1,bb4048aa94,f1c86a5b91,469ec15895,B,Cpp_class
50,50,c0c7c76d30bd3dcaefc96f40275bdc0a,973e3736b1,09f87e0e63,ccc40e4f32,7290aac68d,C,Cpp_class
51,51,2838023a778dfaecdc212708f721b788,7ae7e65065,c62dc7e16f,27acaaa5d3,a78c4640f3,A,Cpp_class
52,52,9a1158154dfa42caddbd0694a4e9bdc8,0e836e71fe,88334148c4,001b0a9d35,a7d85a7cc2,B,C_class
53,53,d82c8d1619ad8176d665453cfb2e55f0,ecf3e2493a,c3118a4938,27c4ecf1af,a9779bbe69,D,C_class
54,54,a684eceee76fc522773286a895bc8436,e9607e2c0a,b56aa26b41,aec2bba665,e2ace17794,A,C_class
55,55,b53b3a3d6ab90ce0268229151c9bde11,83a0ae9a92,e32e399326,f19ea7fa82,6ce3e0cc84,D,Cpp_class
56,56,9f61408e3afb633e50cdf1b20de6f466,837af25041,771f163418,42b555e4a2,8caf61bbcb,C,C_class
57,57,72b32a1f754ba1c09b3695e0cb6cde7f,2a59ceb585,dd17b68f23,4e6baab621,5b6ed55461,A,C_class
58,58,66f041e16a60928b05a7e228a89c3799,141c8d7456,7f9971f48d,039e7ae46c,19de10be01,C,Cpp_class
59,59,093f65e080a295f8076b1c5722a46aa2,8bc98913a9,996d6e52f6,36c4daf99b,260ee74c4f,B,Cpp_class
60,60,072b030ba126b2f4b2374f342be9ed44,3ceed7c5f2,76a352dcac,778383a076,85f9317be9,D,C_class
61,61,7f39f8317fbdb1988ef4c628eba02591,13228cb48b,9a79966ee4,3e4a0bcb37,c6994a28db,D,C_class
62,62,44f683a84163b3523afe57c2e008bc8c,c7478a62a4,c9c60c2b18,150c5bf54b,21cd44cc53,B,C_class
63,63,03afdbd66e7929b125f8597834fa83a4,6d6a1c2cf9,1e24ca4193,e0a032e2b3,ae4f44ec7d,D,C_class
64,64,ea5d2f1c4608232e07d3aa3d998e5135,668355da6a,d5b36098ec,f574128d99,653c7a3d42,B,C_class
65,65,fc490ca45c00b1249bbe3554a4fdf6fb,5b7417efc8,ebeacff0ca,287ef493ac,440c2a945f,B,C_class
66,66,3295c76acbf4caaed33c36b1b5fc2cb1,687ebdd5e1,063c932207,ddb799c4fb,aaef150de0,B,C_class
67,67,735b90b4568125ed6c3f678819b6e058,f31425f98d,1c5b5c33e1,4504dd7179,4e32143855,B,C_class
68,68,a3f390d88e4c41f2747bfa2f1b5f87db,9f363fa6d7,c88b97c262,8ddf951569,4f1b0d137e,B,Cpp_class
69,69,14bfa6bb14875e45bba028a21ed38046,2782e43467,4db8d51262,708b23eaed,5429b8319b,B,Cpp_class
70,70,7cbbc409ec990f19c78c75bd1e06f215,d01233e690,1abb9252d4,31dd9b07ef,371e1fe382,A,Cpp_class
71,71,e2c420d928d4bf8ce0ff2ec19b371514,914dc8cf20,1088a10d02,b7622e4f13,7835061c0a,D,Cpp_class
72,72,32bb90e8976aab5298d5da10fe66f21d,05f60b9c3c,79131cd95f,cb4dc9454c,5d93a6d4ad,C,C_class
73,73,d2ddea18f00665ce8623e36bd4e3c7c5,af79f683ce,e871a8bb57,91b174e8ed,ab92b9d334,A,Cpp_class
74,74,ad61ab143223efbc24c7d2583be69251,0ee4a38f96,c4be9fbe04,be32774b42,65f8614be4,A,Cpp_class
75,75,d09bf41544a3365a46c9077ebb5e35c3,db48626fe6,3d905d7a6c,d0f4636794,1506a078e9,C,Cpp_class
76,76,fbd7939d674997cdb4692d34de8633c4,0e5fac8daf,38cc87d164,0e5c387de4,ec0a088096,B,C_class
77,77,28dd2c7955ce926456240b2ff0100bde,7aaf7b58de,4061d205eb,b145c185d8,4ec2d098a5,D,C_class
78,78,35f4a8d465e6e1edc05f3d8ab658c551,3aad429fb6,6d17f6dfb3,50a52bca28,1908f353c1,A,Cpp_class
79,79,d1fe173d08e959397adf34b1d77e88d7,bc045cc280,3f10e81099,1f30cce91d,b16d8e8edc,B,Cpp_class
80,80,f033ab37c30201f73f142449d037028d,000766e797,e498977dd1,fc27f8f22d,e2d3ba87ed,D,C_class
81,81,43ec517d68b6edd3015b3edc9a11367b,8bb5b99944,23816432cf,4132ab20bd,258f4884d2,A,C_class
82,82,9778d5d219c5080b9a6a17bef029331c,c328217f64,1a64a33e52,41fc05922a,323ecf335b,D,C_class
83,83,fe9fc289c3ff0af142b6d3bead98a923,bacfd669bb,5eaedf34d2,2ef6f0e42b,1caba9be43,A,C_class
84,84,68d30a9594728bc39aa24be94b319d21,bb808f853d,dfa0e13002,09d26b30ac,a89d750787,A,C_class
85,85,3ef815416f775098fe977004015c6193,dfed91ff4f,5d9c8194b5,3a7925b561,2962bf23cd,A,C_class
86,86,93db85ed909c13838ff95ccfa94cebd9,f0d352abf4,bc97b32ee2,b5bc491004,f2e44ecd47,B,C_class
87,87,c7e1249ffc03eb9ded908c236bd1996d,be9ff5b871,732481971a,fc94aac2ed,d357c01942,C,Cpp_class
88,88,2a38a4a9316c49e5a833517c45d31070,65df6556a2,fa0e16d34d,f659002190,f76ebfa2cc,D,C_class
89,89,7647966b7343c29048673252e490f736,19973e320d,a39255bf42,8a9f5c7cf9,1260f9048a,C,C_class
90,90,8613985ec49eb8f757ae6439e879bb2a,18ed2f0652,e0e6a8f57f,73ccb68254,d830f817b9,D,C_class
91,91,54229abfcfa5649e7003b83dd4755294,78d645efbc,f11b7fddd6,3ffafde2de,b0c6f8a42a,C,Cpp_class
92,92,92cc227532d17e56e07902b254dfad10,b3943b785d,941913445c,7903bb367a,66086f8241,D,C_class
93,93,98dce83da57b0395e163467c9dae521b,0c0dbdd3df,5f9ac82fbb,b8297bf1ec,834ecdece6,C,Cpp_class
94,94,f4b9ec30ad9f68f89b29639786cb62ef,74528603fc,7a52d97e6e,22cd12897c,5f9bbda8c8,D,C_class
95,95,812b4ba287f5ee0bc9d43bbf5bbe87fb,8ce3f66f82,5f21c0800f,0001322b57,96c8a2801f,A,Cpp_class
96,96,26657d5ff9020d2abefe558796b99584,ad99404304,b16c03b3fc,9795984731,634fd743ab,B,C_class
97,97,e2ef524fbf3d9fe611d5a8e90fefdc9c,4cbbb89722,60306bd619,3e1647a8d8,b4c6c621ae,C,Cpp_class
98,98,ed3d2c21991e3bef5e069713af9fa6ca,6722797461,16cc8392c5,8fdf5eb4d8,e4b1d5d2b2,B,C_class
99,99,ac627ab1ccbdb62ec96e702f07f6425b,49df23c84b,a62b6c4c0c,d79a339fad,518237984e,D,C_class
