,id,description,answer,tag
37,37,a5bfc9e07964f8dddeb95fc584cd965d ____ a5bfc9e07964f8dddeb95fc584cd965d,a5bfc,C_class
38,38,a5771bce93e200c36f7cd9dfd0e5deaa ____ a5771bce93e200c36f7cd9dfd0e5deaa,a5771,Cpp_class
39,39,d67d8ab4f4c10bf22aa353e27879133c ____ d67d8ab4f4c10bf22aa353e27879133c,d67d8,C_class
40,40,d645920e395fedad7bbbed0eca3fe2e0 ____ d645920e395fedad7bbbed0eca3fe2e0,d6459,Cpp_class
41,41,3416a75f4cea9109507cacd8e2f2aefc ____ 3416a75f4cea9109507cacd8e2f2aefc,3416a,C_class
42,42,a1d0c6e83f027327d8461063f4ac58a6 ____ a1d0c6e83f027327d8461063f4ac58a6,a1d0c,C_class
43,43,17e62166fc8586dfa4d1bc0e1742c08b ____ 17e62166fc8586dfa4d1bc0e1742c08b,17e62,C_class
44,44,f7177163c833dff4b38fc8d2872f1ec6 ____ f7177163c833dff4b38fc8d2872f1ec6,f7177,C_class
45,45,6c8349cc7260ae62e3b1396831a8398f ____ 6c8349cc7260ae62e3b1396831a8398f,6c834,C_class
46,46,d9d4f495e875a2e075a1a4a6e1b9770f ____ d9d4f495e875a2e075a1a4a6e1b9770f,d9d4f,Cpp_class
47,47,67c6a1e7ce56d3d6fa748ab6d9af3fd7 ____ 67c6a1e7ce56d3d6fa748ab6d9af3fd7,67c6a,Cpp_class
48,48,642e92efb79421734881b53e1e1b18b6 ____ 642e92efb79421734881b53e1e1b18b6,642e9,Cpp_class
49,49,f457c545a9ded88f18ecee47145a72c0 ____ f457c545a9ded88f18ecee47145a72c0,f457c,Cpp_class
50,50,c0c7c76d30bd3dcaefc96f40275bdc0a ____ c0c7c76d30bd3dcaefc96f40275bdc0a,c0c7c,Cpp_class
51,51,2838023a778dfaecdc212708f721b788 ____ 2838023a778dfaecdc212708f721b788,28380,C_class
52,52,9a1158154dfa42caddbd0694a4e9bdc8 ____ 9a1158154dfa42caddbd0694a4e9bdc8,9a115,Cpp_class
53,53,d82c8d1619ad8176d665453cfb2e55f0 ____ d82c8d1619ad8176d665453cfb2e55f0,d82c8,Cpp_class
54,54,a684eceee76fc522773286a895bc8436 ____ a684eceee76fc522773286a895bc8436,a684e,Cpp_class
55,55,b53b3a3d6ab90ce0268229151c9bde11 ____ b53b3a3d6ab90ce0268229151c9bde11,b53b3,Cpp_class
56,56,9f61408e3afb633e50cdf1b20de6f466 ____ 9f61408e3afb633e50cdf1b20de6f466,9f614,C_class
57,57,72b32a1f754ba1c09b3695e0cb6cde7f ____ 72b32a1f754ba1c09b3695e0cb6cde7f,72b32,Cpp_class
58,58,66f041e16a60928b05a7e228a89c3799 ____ 66f041e16a60928b05a7e228a89c3799,66f04,Cpp_class
59,59,093f65e080a295f8076b1c5722a46aa2 ____ 093f65e080a295f8076b1c5722a46aa2,093f6,Cpp_class
60,60,072b030ba126b2f4b2374f342be9ed44 ____ 072b030ba126b2f4b2374f342be9ed44,072b0,Cpp_class
61,61,7f39f8317fbdb1988ef4c628eba02591 ____ 7f39f8317fbdb1988ef4c628eba02591,7f39f,Cpp_class
62,62,44f683a84163b3523afe57c2e008bc8c ____ 44f683a84163b3523afe57c2e008bc8c,44f68,C_class
63,63,03afdbd66e7929b125f8597834fa83a4 ____ 03afdbd66e7929b125f8597834fa83a4,03afd,Cpp_class
64,64,ea5d2f1c4608232e07d3aa3d998e5135 ____ ea5d2f1c4608232e07d3aa3d998e5135,ea5d2,Cpp_class
65,65,fc490ca45c00b1249bbe3554a4fdf6fb ____ fc490ca45c00b1249bbe3554a4fdf6fb,fc490,C_class
66,66,3295c76acbf4caaed33c36b1b5fc2cb1 ____ 3295c76acbf4caaed33c36b1b5fc2cb1,3295c,Cpp_class
67,67,735b90b4568125ed6c3f678819b6e058 ____ 735b90b4568125ed6c3f678819b6e058,735b9,C_class
68,68,a3f390d88e4c41f2747bfa2f1b5f87db ____ a3f390d88e4c41f2747bfa2f1b5f87db,a3f39,C_class
69,69,14bfa6bb14875e45bba028a21ed38046 ____ 14bfa6bb14875e45bba028a21ed38046,14bfa,C_class
70,70,7cbbc409ec990f19c78c75bd1e06f215 ____ 7cbbc409ec990f19c78c75bd1e06f215,7cbbc,C_class
71,71,e2c420d928d4bf8ce0ff2ec19b371514 ____ e2c420d928d4bf8ce0ff2ec19b371514,e2c42,Cpp_class
72,72,32bb90e8976aab5298d5da10fe66f21d ____ 32bb90e8976aab5298d5da10fe66f21d,32bb9,Cpp_class
73,73,d2ddea18f00665ce8623e36bd4e3c7c5 ____ d2ddea18f00665ce8623e36bd4e3c7c5,d2dde,Cpp_class
74,74,ad61ab143223efbc24c7d2583be69251 ____ ad61ab143223efbc24c7d2583be69251,ad61a,Cpp_class
75,75,d09bf41544a3365a46c9077ebb5e35c3 ____ d09bf41544a3365a46c9077ebb5e35c3,d09bf,Cpp_class
76,76,fbd7939d674997cdb4692d34de8633c4 ____ fbd7939d674997cdb4692d34de8633c4,fbd79,C_class
77,77,28dd2c7955ce926456240b2ff0100bde ____ 28dd2c7955ce926456240b2ff0100bde,28dd2,Cpp_class
78,78,35f4a8d465e6e1edc05f3d8ab658c551 ____ 35f4a8d465e6e1edc05f3d8ab658c551,35f4a,C_class
79,79,d1fe173d08e959397adf34b1d77e88d7 ____ d1fe173d08e959397adf34b1d77e88d7,d1fe1,C_class
80,80,f033ab37c30201f73f142449d037028d ____ f033ab37c30201f73f142449d037028d,f033a,C_class
81,81,43ec517d68b6edd3015b3edc9a11367b ____ 43ec517d68b6edd3015b3edc9a11367b,43ec5,Cpp_class
82,82,9778d5d219c5080b9a6a17bef029331c ____ 9778d5d219c5080b9a6a17bef029331c,9778d,Cpp_class
83,83,fe9fc289c3ff0af142b6d3bead98a923 ____ fe9fc289c3ff0af142b6d3bead98a923,fe9fc,Cpp_class
84,84,68d30a9594728bc39aa24be94b319d21 ____ 68d30a9594728bc39aa24be94b319d21,68d30,C_class
85,85,3ef815416f775098fe977004015c6193 ____ 3ef815416f775098fe977004015c6193,3ef81,C_class
86,86,93db85ed909c13838ff95ccfa94cebd9 ____ 93db85ed909c13838ff95ccfa94cebd9,93db8,Cpp_class
87,87,c7e1249ffc03eb9ded908c236bd1996d ____ c7e1249ffc03eb9ded908c236bd1996d,c7e12,Cpp_class
88,88,2a38a4a9316c49e5a833517c45d31070 ____ 2a38a4a9316c49e5a833517c45d31070,2a38a,Cpp_class
89,89,7647966b7343c29048673252e490f736 ____ 7647966b7343c29048673252e490f736,76479,C_class
90,90,8613985ec49eb8f757ae6439e879bb2a ____ 8613985ec49eb8f757ae6439e879bb2a,86139,C_class
91,91,54229abfcfa5649e7003b83dd4755294 ____ 54229abfcfa5649e7003b83dd4755294,54229,Cpp_class
92,92,92cc227532d17e56e07902b254dfad10 ____ 92cc227532d17e56e07902b254dfad10,92cc2,C_class
93,93,98dce83da57b0395e163467c9dae521b ____ 98dce83da57b0395e163467c9dae521b,98dce,C_class
94,94,f4b9ec30ad9f68f89b29639786cb62ef ____ f4b9ec30ad9f68f89b29639786cb62ef,f4b9e,Cpp_class
95,95,812b4ba287f5ee0bc9d43bbf5bbe87fb ____ 812b4ba287f5ee0bc9d43bbf5bbe87fb,812b4,Cpp_class
96,96,26657d5ff9020d2abefe558796b99584 ____ 26657d5ff9020d2abefe558796b99584,26657,Cpp_class
97,97,e2ef524fbf3d9fe611d5a8e90fefdc9c ____ e2ef524fbf3d9fe611d5a8e90fefdc9c,e2ef5,Cpp_class
98,98,ed3d2c21991e3bef5e069713af9fa6ca ____ ed3d2c21991e3bef5e069713af9fa6ca,ed3d2,Cpp_class
99,99,ac627ab1ccbdb62ec96e702f07f6425b ____ ac627ab1ccbdb62ec96e702f07f6425b,ac627,C_class
